IntName,Name,Might,Range,Description,Type,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3,ExclusiveUser4,NameJP,DescJP,NameDE,DescDE,NameES,DescES,NameLS,DescLS,NameFR,DescFR,NameIT,DescIT,NameTC,DescTC,NamePT,DescPT
Dragonslasher+,Dragonslasher+,12,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effDragon,0,,,,,,,,,,,,,,,,,,,,,,,,
Dragonslasher+Atk,Dragonslasher+,13,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effDragon,0,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,
Dragonslasher+Spd,Dragonslasher+,12,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effDragon,0,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,
Dragonslasher+Def,Dragonslasher+,12,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effDragon,0,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,
Dragonslasher+Res,Dragonslasher+,12,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effDragon,0,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,
Hidden Thorns,Hidden Thorns,8,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat. Effect: [Dagger 5]",Dagger,dagger,5,summerInit,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Thorns+,Hidden Thorns+,12,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat. Effect: [Dagger 7]",Dagger,dagger,7,summerInit,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Thorns+Atk,Hidden Thorns+,13,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat. Effect: [Dagger 7]",Dagger,dagger,7,summerInit,0,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Thorns+Spd,Hidden Thorns+,12,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat. Effect: [Dagger 7]",Dagger,dagger,7,summerInit,0,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,,,
Hidden Thorns+Def,Hidden Thorns+,12,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat. Effect: [Dagger 7]",Dagger,dagger,7,summerInit,0,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,,,
Hidden Thorns+Res,Hidden Thorns+,12,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat. Effect: [Dagger 7]",Dagger,dagger,7,summerInit,0,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,,,
Caltrop Dagger,Caltrop Dagger,8,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,5,hardyBearing,3,effCav,0,,,,,,,,,,,,,,,,,,,,,,,,
Caltrop Dagger+,Caltrop Dagger+,12,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effCav,0,,,,,,,,,,,,,,,,,,,,,,,,
Caltrop Dagger+Atk,Caltrop Dagger+,13,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effCav,0,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,
Caltrop Dagger+Spd,Caltrop Dagger+,12,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effCav,0,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,
Caltrop Dagger+Def,Caltrop Dagger+,12,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effCav,0,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,
Caltrop Dagger+Res,Caltrop Dagger+,12,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",Dagger,dagger,7,hardyBearing,3,effCav,0,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,
Courtly Fan,Courtly Fan,8,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%. Effect: [Dagger 5]",Dagger,dagger,5,courtly,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtly Fan+,Courtly Fan+,12,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%. Effect: [Dagger 7]",Dagger,dagger,7,courtly,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtly Fan+Atk,Courtly Fan+,13,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%. Effect: [Dagger 7]",Dagger,dagger,7,courtly,2,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,,,
Courtly Fan+Spd,Courtly Fan+,12,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%. Effect: [Dagger 7]",Dagger,dagger,7,courtly,2,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,,,
Courtly Fan+Def,Courtly Fan+,12,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%. Effect: [Dagger 7]",Dagger,dagger,7,courtly,2,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,,,
Courtly Fan+Res,Courtly Fan+,12,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%. Effect: [Dagger 7]",Dagger,dagger,7,courtly,2,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,,,
Bone Carver,Bone Carver,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 5]",Dagger,dagger,5,boneCarver,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Carver+,Bone Carver+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Carver+Atk,Bone Carver+,13,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,,,
Bone Carver+Spd,Bone Carver+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,,,
Bone Carver+Def,Bone Carver+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,,,
Bone Carver+Res,Bone Carver+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,,,
Miasma Dagger,Miasma Dagger,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 5]",Dagger,dagger,5,boneCarver,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Miasma Dagger+,Miasma Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Miasma Dagger+Atk,Miasma Dagger+,13,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,,,
Miasma Dagger+Spd,Miasma Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,,,
Miasma Dagger+Def,Miasma Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,,,
Miasma Dagger+Res,Miasma Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat. Effect: [Dagger 7]",Dagger,dagger,7,boneCarver,0,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,,,
Clever Dagger,Clever Dagger,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%. Effect: [Dagger 5]",Dagger,dagger,5,easterFirstHitDR,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Clever Dagger+,Clever Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%. Effect: [Dagger 7]",Dagger,dagger,7,easterFirstHitDR,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Clever Dagger+Atk,Clever Dagger+,13,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%. Effect: [Dagger 7]",Dagger,dagger,7,easterFirstHitDR,30,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,,,
Clever Dagger+Spd,Clever Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%. Effect: [Dagger 7]",Dagger,dagger,7,easterFirstHitDR,30,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,,,
Clever Dagger+Def,Clever Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%. Effect: [Dagger 7]",Dagger,dagger,7,easterFirstHitDR,30,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,,,
Clever Dagger+Res,Clever Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%. Effect: [Dagger 7]",Dagger,dagger,7,easterFirstHitDR,30,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,,,
Small Spade,Small Spade,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack). Effect: [Dagger 5]",Dagger,dagger,5,smallSpade,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Spade+,Small Spade+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack). Effect: [Dagger 5]",Dagger,dagger,7,smallSpade,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Spade+Atk,Small Spade+,13,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack). Effect: [Dagger 5]",Dagger,dagger,7,smallSpade,0,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,,,
Small Spade+Spd,Small Spade+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack). Effect: [Dagger 5]",Dagger,dagger,7,smallSpade,0,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,,,
Small Spade+Def,Small Spade+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack). Effect: [Dagger 5]",Dagger,dagger,7,smallSpade,0,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,,,
Small Spade+Res,Small Spade+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit, grants Atk/Spd+X × 5 to unit (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack). Effect: [Dagger 5]",Dagger,dagger,7,smallSpade,0,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,,,
Ice Dagger,Ice Dagger,8,2,"Calculates damage using the lower of foe's Def or Res. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials). Effect: [Dagger 5]",Dagger,dagger,5,permHexblade,0,iceDagger,0,,,,,,,,,,,,,,,,,,,,,,,,
Ice Dagger+,Ice Dagger+,12,2,"Calculates damage using the lower of foe's Def or Res. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials). Effect: [Dagger 7]",Dagger,dagger,7,permHexblade,1,iceDagger,0,,,,,,,,,,,,,,,,,,,,,,,,
Ice Dagger+Atk,Ice Dagger+,13,2,"Calculates damage using the lower of foe's Def or Res. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials). Effect: [Dagger 7]",Dagger,dagger,7,permHexblade,2,iceDagger,0,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,
Ice Dagger+Spd,Ice Dagger+,12,2,"Calculates damage using the lower of foe's Def or Res. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials). Effect: [Dagger 7]",Dagger,dagger,7,permHexblade,3,iceDagger,0,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,
Ice Dagger+Def,Ice Dagger+,12,2,"Calculates damage using the lower of foe's Def or Res. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials). Effect: [Dagger 7]",Dagger,dagger,7,permHexblade,4,iceDagger,0,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,
Ice Dagger+Res,Ice Dagger+,12,2,"Calculates damage using the lower of foe's Def or Res. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials). Effect: [Dagger 7]",Dagger,dagger,7,permHexblade,5,iceDagger,0,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,
Gainful Dagger,Gainful Dagger,8,2,"At start of turn, if unit's HP ≥ 25%, grants [Null Follow-Up] and [Null Panic] to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of [Bonus] effects active on unit and [Penalty] effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5). Effect: [Dagger 5]",Dagger,dagger,5,whitewindBow,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gainful Dagger+,Gainful Dagger+,12,2,"At start of turn, if unit's HP ≥ 25%, grants [Null Follow-Up] and [Null Panic] to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of [Bonus] effects active on unit and [Penalty] effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5). Effect: [Dagger 7]",Dagger,dagger,7,whitewindBow,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gainful Dagger+Atk,Gainful Dagger+,13,2,"At start of turn, if unit's HP ≥ 25%, grants [Null Follow-Up] and [Null Panic] to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of [Bonus] effects active on unit and [Penalty] effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5). Effect: [Dagger 7]",Dagger,dagger,7,whitewindBow,0,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,,,
Gainful Dagger+Spd,Gainful Dagger+,12,2,"At start of turn, if unit's HP ≥ 25%, grants [Null Follow-Up] and [Null Panic] to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of [Bonus] effects active on unit and [Penalty] effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5). Effect: [Dagger 7]",Dagger,dagger,7,whitewindBow,0,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,,,
Gainful Dagger+Def,Gainful Dagger+,12,2,"At start of turn, if unit's HP ≥ 25%, grants [Null Follow-Up] and [Null Panic] to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of [Bonus] effects active on unit and [Penalty] effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5). Effect: [Dagger 7]",Dagger,dagger,7,whitewindBow,0,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,,,
Gainful Dagger+Res,Gainful Dagger+,12,2,"At start of turn, if unit's HP ≥ 25%, grants [Null Follow-Up] and [Null Panic] to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit during combat (X = number of [Bonus] effects active on unit and [Penalty] effects active on foe, excluding stat bonuses and stat penalties, × 2, + 5). Effect: [Dagger 7]",Dagger,dagger,7,whitewindBow,0,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,,,
Giant Shuriken,Giant Shuriken,8,2,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat. Effect: [Dagger 5]",Dagger,dagger,5,BraveAW,0,giantShuriken,0,,,,,,,,,,,,,,,,,,,,,,,,
Giant Shuriken+,Giant Shuriken+,12,2,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat. Effect: [Dagger 7]",Dagger,dagger,7,BraveAW,0,giantShuriken,0,,,,,,,,,,,,,,,,,,,,,,,,
Giant Shuriken+Atk,Giant Shuriken+,13,2,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat. Effect: [Dagger 7]",Dagger,dagger,7,BraveAW,0,giantShuriken,0,HPBoost,2,,,,,,,,,,,,,,,,,,,,,,
Giant Shuriken+Spd,Giant Shuriken+,12,2,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat. Effect: [Dagger 7]",Dagger,dagger,7,BraveAW,0,giantShuriken,0,HPBoost,2,spdBoost,2,,,,,,,,,,,,,,,,,,,,
Giant Shuriken+Def,Giant Shuriken+,12,2,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat. Effect: [Dagger 7]",Dagger,dagger,7,BraveAW,0,giantShuriken,0,HPBoost,2,defBoost,3,,,,,,,,,,,,,,,,,,,,
Giant Shuriken+Res,Giant Shuriken+,12,2,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat. Effect: [Dagger 7]",Dagger,dagger,7,BraveAW,0,giantShuriken,0,HPBoost,2,resBoost,3,,,,,,,,,,,,,,,,,,,,
Jehanna Dagger,Jehanna Dagger,8,2,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +7. At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants Atk/Spd+6, [Dodge], and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces of unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and unit's next attack deals damage = total damage reduced from foe's first attack (by any source, including other skills). Resets at end of combat. Effect: [Dagger 5]",Dagger,dagger,5,phantomSpd,7,jehannaBoost,0,,,,,,,,,,,,,,,,,,,,,,,,
Jehanna Dagger+,Jehanna Dagger+,12,2,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +7. At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants Atk/Spd+6, [Dodge], and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces of unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and unit's next attack deals damage = total damage reduced from foe's first attack (by any source, including other skills). Resets at end of combat. Effect: [Dagger 7]",Dagger,dagger,7,phantomSpd,7,jehannaBoost,0,,,,,,,,,,,,,,,,,,,,,,,,
Jehanna Dagger+Atk,Jehanna Dagger+,13,2,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +7. At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants Atk/Spd+6, [Dodge], and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces of unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and unit's next attack deals damage = total damage reduced from foe's first attack (by any source, including other skills). Resets at end of combat. Effect: [Dagger 7]",Dagger,dagger,7,phantomSpd,7,jehannaBoost,0,HPBoost,5,,,,,,,,,,,,,,,,,,,,,,
Jehanna Dagger+Spd,Jehanna Dagger+,12,2,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +7. At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants Atk/Spd+6, [Dodge], and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces of unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and unit's next attack deals damage = total damage reduced from foe's first attack (by any source, including other skills). Resets at end of combat. Effect: [Dagger 7]",Dagger,dagger,7,phantomSpd,7,jehannaBoost,0,HPBoost,5,spdBoost,3,,,,,,,,,,,,,,,,,,,,
Jehanna Dagger+Def,Jehanna Dagger+,12,2,"If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +7. At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants Atk/Spd+6, [Dodge], and ""neutralizes penalties on unit during combat"" to unit and allies within 2 spaces of unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by 7 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and unit's next attack deals damage = total damage reduced from foe's first attack (by any source, including other skills). Resets at end of combat. Effect: [Dagger 7]",Dagger,dagger,7,phantomSpd,7,jehannaBoost,0,HPBoost,5,defBoost,4,,,,,,,,,,,,,,,,,,,,
